Word,Meaning
"बहुत ही ख़राब, अगाध",Abysmal
बेकार ढंग से,Abysmally
"नर्क, रसातल",Abyss
अकेशिया,Acacia
शैक्षिक विश्व,Academe
शैक्षिक विश्व,Academia
शैक्षणिक दृष्टि से,Academically
अकादमी सदस्य,Academician
"अव्यावहारिक, शिक्षक, विद्वान, शैक्षिक, अकादमिक",Academic
अकादमी पुरस्कार,Academy Award
अकादमी,Academy
"पद ग्रहण करना, मान लेना",Accede
"तेज़ी से बढ़ाना, गति बढ़ाना",Accelerate
"बढ़ोतरी, त्वरण",Acceleration
त्वरक,Accelerator
"लहज़ा, स्वराघात",Accent
स्वराघात,Accentuation
अधिक सुस्पष्ट करना,Accentuate
"योग्य, संतोषजनक, काफ़ी, ठीक, अनुकूल, स्वीकार्य",Acceptable
स्वीकार्यता,Acceptablility
ठीक-ठाक,Acceptably
"स्वीकृति, स्वीकरण, अनुमोदन",Acceptance
"स्वीकार करना, लेना, स्वीकार करना, लेना, हां कहना, स्वीकार करना, मोल लेना, स्वीकार करना",Accept
"मान्यताप्राप्त, वैध, स्वीकार्य, स्वीकृत",Accepted
"सुलभता, उपलब्धता, सुगम्यता",Accessibility
"गमनीय, गम्य, अभिगम्य, सुलभ, सुगम्य",Accessible
"अभिगम्यता, ऐक्सेस करना, तक पहुँचना, प्रवेश मार्ग",Access
"अनुवृद्धि, राज्यारोहण, पदग्रहण",Accession
"उपसाधन, एक्सेसरी, सहयोगी, अतिरिक्त वस्तु",Accessory
सर्पी सड़क,Access road
सर्पी सड़क,Access road
उपलब्धि,Achievement
सफलता,Acchievement
"आनुषांगिक, आकस्मिक",Accidental
अचानक,Accidentally
"आकस्मिक घटना, दुर्घटना, अप्रत्याशित घटना, इत्तफ़ाक, दुर्घटना",Accident
दुर्घटनाबहुल,Accident prone
"प्रशंसा, वाहवाही, स्वागत करना, अनुमोदन",Acclaim
"प्रशंसा, वाहवाही, अभिनंदन",Acclamation
पर्यनुकूलन,Acclimatisation
पर्यनुकूलन करना,Acclimatise
पर्यनुकूलन,Acclimatization
"पर्यनुकूलित होना, पर्यनुकूलन करना",Acclimatize
"उत्प्रवण, चढ़ावदार, आरोही",Acclivitous
पुरस्कार,Accolade
"अनुरूप बनाना, ध्यान में रखना, आना, सहायता करना, अनुकूल बनाना",Accommodate
समंजनशील,Accommodating
"निवास-स्थान, आवास, समझौता, सामंजस्य",Accommodation
"निवास, आवास",Accommodations
संगत,Accompaniment
संगतकार,Accompanist
"संगत करना, साथ-साथ होना,  जाना",Accompany
पूरा करना,Accomplish
"निष्पत्ति, योग्यता, कौशल, प्रवीणता, समापन, निपुणता, उपलब्धि",Accomplishment
"पाप-सहभागी, सह-अपराधी",Accomplice
"निष्पाद्य, कार्यान्वित होने योग्य",Accomplishable
"प्रमाणित, समाप्त, संपन्न, निपुण, सुसंस्कृत",Accomplished
"ऐक्य, अधिकार अनुदान, सहमति, अनुरूपता",Accordance
"ऐक्य, साथ जाना, मेल खाना, सहानुभूतिपूर्ण अनुकूलता, सहानुभूतिपूर्ण सुसंगतता, अनुबंध, सहमति, स्वेच्छा, इच्छा, संधि, अभिसंविदा, मिलना, मेल खाना, अनुरूप होना",Accord
"परिस्थिति के अनुसार, तदनुसार, फलस्वरूप",Accordingly
अकॉर्डियन,Accordion
"रिझाना, टोकना, संबोधित करना, फ़ँसाना",Accost
"जवाबदेही, उत्तरदायित्व",Accountability
"जिम्मेदार, उत्तरदायी",Accountable
"हिसाब-किताब, लेखाविधि",Accountancy
"मुनीम, लेखाकार",Accountant
"खाता, जमा खाता, हिसाब रखना, विवरण देना, वर्णन करना, जवाब देना, स्पष्टीकरण देना, मूल्य, वजह, कारण, बिल, व्याख्या, स्पष्टीकरण, लेखा-जोखा, समाचार-विवरण, समाचार, वृत्तांत, खबर, लेखा, मानना, विवरण, समझना, लेखा",Account
"जवाब देना, लेखा-जोखा करना, पता लगना, मार गिराना, कारण बताना, बताना, कारण होना, से आना",Account for
"लेखा पद्धति, लेखा प्रणाली, लेखाकर्म, लेखाविधि, हिसाब-किताब, लेखा-जोखा, लेखा",Accounting
"आधिकारिक मान्यता, प्रमाणन",Accreditation
"मान्यता-प्राप्त, अधिकृत, प्रमाणित",Accredited
"मान्यता देना, अधिकार देना, श्रेय देना, अधिकृत करना",Accredit
"अभिवृद्धि, संचयन",Accretion
"हिस्से में आना, इकट्ठा करना, मिल्ना, अधिकार में आना, बढ़ना, जमा करना",Accrue
"इकट्ठा करना, ढेर लगना, जमा करना",Accumulate
"संग्रहण, जमाव, संचयन",Accumulation
"संचयशील, संचयी",Accumulative
"सत्यता, खरापन",Accuracy
"एकदम सही, ठीक, अचूक, सही, परिशुद्ध",Accurate
"सही ढंग से, सही-सही",Accurately
"शापग्रस्त, अभिशप्त, खराब, गर्हित",Accursed
"इल्ज़ाम, अभियोग, दोषारोपण",Accusation
"द्वितीया, इल्ज़ाम लगाता, अभियोगात्मक, कर्मकारक",Accusative
"इल्ज़ाम लगाता, अभियोगात्मक",Accusatory
"मुलज़िम, दोषी, अभियुक्त",Accused
"इल्ज़ाम लगाना, अभियोग लगाना, दोष लगाना",Accuse
"फ़रियादी, अभियोक्ता",Accuser
अभियोगात्मक,Accusing
"अभियोगात्मक ढंग से, अभियोग लगाते हुए",Accusingly
"हमेशा का, परिचित, अभ्यस्त",Accustomed
"साधना, आदी बनाना, अभ्यस्त करना",Accustom
"के विरुद्ध एस सर्विस करना, के विरुद्ध एस बनाना, आसानी से सफलता पा लेना, प्रवीण, शानदार, एस, इक्का, सर्वश्रेष्ठ",Ace
"तिक्त, कषाय, कसैला, कटु",Acerbic
"तिक्तता, कड़वापन",Acerbity
"ऐसिटेट, ऐसिटेट रेयॉन",Acetate
एसीटिक अम्ल,Acetic acid
ऐसीटिक,Acetic
ऐसीटिलीन गैस,Acetylene
"पीड़ा, तरसना, दर्द करना, दर्द, तकलीफ़ देना, दर्द करना",Ache
"निष्पाद्य, कार्यान्वित होने योग्य",Achievable
"सफल होना, पाना, प्राप्त करना, पूरा कर देना",Achieve
सर्वजया,Achira
"निर्वर्णता, अवर्णता, पीलापन",Achromasia
"खट्टा, कटु, तिक्त, ऐसिड, अम्ल, व्यंग्यात्मक, अम्लीय, ऐसिड",Acid
एसिड हाउस,Acid house
"अम्लीय करना, आम्ल होना, खट्टा करना",Acidify
"अम्लीभवन, अम्लीकरण",Acidification
रुखाई से,Acidly
अम्ल-वर्षा,Acid rain
"साख निर्धारण, निर्णायक परीक्षा, अम्ल-परीक्षण, अग्नि-परीक्षा",Acid test
"खट्टा, अम्लीय",Acidulous
"माना जाना, आभार प्रकट करना, पसंद करना, प्राप्ति सूचना देना, स्वीकार करना, मानना",Acknowledge
"प्रत्युत्तर, पहचान, आभारोक्ति, मान्यता, पावती रसीद, प्रतिदान, स्वीकृति, अभिस्वीकृति, आभारोक्ति",Acknowledgement
"पहचान, मान्यता, प्रतिदान, पावती रसीद, प्रत्युत्तर, आभारोक्ति, अभिस्वीकृति, आभारोक्ति",Acknowledgment
बाल-बाल बचना,Close call
बाल-बाल बचना,Close shave
अपरिचित विषय,Closed book
"चरम बिंदु, शिखर, सर्वोच्च शिखर, पराकाष्ठा",Acme
"परिचर, अनुचर, पादरी-सेवक, सहायक",Acolyte
कालकूट,Aconite
"शाहबलूत का फल, बाँजफल",Acorn
"ध्वनि की दृष्टि से, ध्वानिकी की दृष्टि से",Acoustically
"ध्वानिक, शाब्दिक, अविद्युत, ध्वानिकी, ध्वनि-संबंधी",Acoustic
"ध्वनिशास्त्र, ध्वानिकी",Acoustics
"परिचय, पहचान, परिचय, जानकारी",Acquaintance
परिचित,Acquainted
"बताना, सूचित करना, जानना, परिचित होना, मिलाना, परिचय कराना, अवगत कराना",Acquaint
सहमति देना,Acquiesce
"रज़ामंदी, सम्मति, सहमति",Acquiescence
"राज़ी, सहमत, अनुवर्ती",Acquiescent
"धारण करना, अपनाना, लेना, पाना, हासिल करना, प्राप्त करना, उपलब्ध करना, अर्जित करना",Acquire
"अभिग्रहण, संपत्ति, ज्ञान अर्जन, विद्या प्राप्ति, कला, हुनर, संकलन, प्राप्ति",Acquisition
अभिग्रहणशील,Acquisitive
अभिग्रहणशीलता,Acquisitiveness
"आचरण करना, व्यवहार करना, निर्दोष ठहराना, बरी करना, प्रस्तुत करना",Acquit
"दोषमुक्ति, रिहाई",Acquittal
"भू-क्षेत्र, एकड़वार क्षेत्रफल",Acreage
एकड़,Acre
"तिक्त, कषाय, कसैला, तीखा, तीक्ष्ण",Acrid
कटुतापूर्ण,Acrimonious
कटुतापूर्ण ढंग से,Acrimoniously
"तिक्तता, कटुता, कड़वाहट",Acrimony
कलाबाज़,Acrobat
"हवाई कलाबाज़ी, हवाई करतब, कलाबाज़ी",Acrobatics
"परिवर्णी शब्द, आदिवर्णिक शब्द",Acronym
छोटे रास्ते से,Across country
के सामने,Across from
"तिरछा, तिरछे ढंग से, में सर्वत्र, तरफ़, सामने",Across
"परिवर्णी काव्य, चित्राक्षरी, आद्यंताक्षरी",Acrostic
"ऐक्रिलिक तंतु, ऐक्रिलिक",Acrylic
"काम करना, ढोंग, नकल करना, जैसे करना, नाटक करना, कार्य, अंक, बर्ताव करना, कर्म, दिखना, कार्यवाही करना, ढोंग करना, अभिनय करना, अभिनय करना, प्रदर्शन, असर करना,  करना, कृत्य, नाटक, पेश आना, अधिनियम",Act
"जैसे करना, नकल करना, की तरह काम करना, की भूमिका निभाना",Act as
का प्रतिनिधित्व करना,Act for
"स्थानापन्न, अभिनीति, कार्यकारी, अभिनय",Acting
विकिरण चिकित्सा,Actinotherapy
वाद योग्य,Actionable
"के खिलाफ़ मुकदमा दायर करना, प्रभाव, दावा, कानूनी कार्रवाई, पर कानूनी कार्रवाई करना, एक्शन, भिड़ंत, प्रक्रिया, सैनिक कार्रवाई, क्रियाशीलता, कार्रवाई, गति, काम, कलपुर्ज़ा, मुठभेड़, घटनाक्रम, असर, कार्य, क्रियाशील, क्रिया, कार्यकलाप",Action
कार्रवाई दल,Action group
क्रियाकलाप और उत्तेजना से भरपूर,Action packed
"पुनर्प्रदर्शन, ऐक्शन रिप्ले",Action replay
कार्रवाई के लिए तैयार हो!,Action stations
"रेडियोधर्मी बनाना, वायु-संचरित करना, और अधिशोषित करना, क्रियाशील करना, सक्रिय करना",Activate
"सक्रियकरण, सक्रियण",Activation
"युद्ध के लिये तत्पर, युद्धरत, कारक, कर्तृवाचक, फुर्तीला, रेडियोधर्मी, तेज़, क्रियाशील, सक्रिय, जागृत, सक्रिय, प्रभावशाली, प्रभावकारी",Active
सक्रिय रणसेवा,Active duty
सक्रियता से,Actively
सक्रिय रणसेवा,Active service
कर्तृवाच्य,Active voice
ऐक्टिव-एक्स,ActiveX
"क्रियावाद, सक्रियतावाद",Activism
"क्रियावादी, क्रियावादी",Activist
"नैसर्गिक प्रक्रिया, प्राकृतिक प्रक्रिया, शारीरिक प्रक्रिया, क्रिया, सक्रियता, क्रियाशीलता, कार्यकलाप, क्रिया-कलाप, गतिविधि",Activity
"कार्रवाई करना, पर चलना",Act on
"अदाकार, अभिनेता",Actor
"कार्यान्वित करना,  करना",Act out
अभिनेत्री,Actress
"असली, तथ्यात्मक, सही, तथ्यपूर्ण, चालू, वर्तमान, विद्यमान, वास्तविक",Actual
वास्तविकता,Actualities
"यथार्थता, वास्तविकता",Actuality
"अभी, इस समय, वास्तव में, सचमुच",Actually
"जीवनांकिक, बीमांकिक",Actuarial
बीमांकक,Actuary
"प्रोत्साहित करना, सक्रिय करना, चालू करना, प्रेरित करना",Actuate
"बद्तमीज़ी से पेश आना, अभद्र व्यवहार करना, तकलीफ़ देना, दर्द करना",Act up
"अमल करना, दबाव डालना, कार्रवाई करना, प्रभाव डालना",Act upon
"कुशाग्रता, तीक्ष्णता",Acuity
"शूल, काँटा, चतुराई, विदग्धता, कुशाग्रता",Acumen
"सूची-वेधन, ऐक्यूपंक्चर",Acupuncture
ऐक्यूपंक्चर विशेषज्ञ,Acupuncturist
तीव्र बलाघात-चिन्ह,Acute accent
न्यून कोण,Acute angle
"तीक्ष्ण, तेज़, तीक्ष्ण, संवेगी",Acute
तीक्ष्णता से,Acutely
तीक्ष्णता,Acuteness
लोकोक्ति,Adage
"धीमे-धीमे, धीमी लय का संगीत",Adagio
"अड़ा हुआ, अटल",Adamant
कठोरता से,Adamantly
आदम,Adam
"अनुकूलनीयता, अनुकूलनशीलता",Adaptability
"अनुकूलनीय, अनुकूलनशील",Adaptable
"संधानता, रूपांतरण, अनुकूलन",Adaptation
"अनुकूल बनाना, अनुकूल बनाना, रूपान्तरित करना",Adapt
"अनुकूलनक्षम, अनुकूलनीय, अनुकूली",Adaptive
"उपायोजक, अनुकूलक",Adaptor
अज्ञात अभ्यर्थी,Dark horse
अतिरिक्त,Added
परिशिष्ट,Addendum
गेहुँअन सर्प,Adder
"जुड़ना, देना, जोड़ना, आगे बताना, जोड़ना, मिलाना, जोड़ना",Add
आदी,Addicted
"नशाखोर हो जाना, नशाखोर बना देना, नशेड़ी हो जाना, नशेड़ी बना देना, नशेड़ी, लती, आदी, व्यसनी",Addict
"चस्का, लत, व्यसन",Addiction
व्यसनकारी,Addictive
जोड़ना,Add in
अतिरिक्त,Additional
इसके अलावा,Additionally
"जुड़ाई, योग, वृद्धि, अनुवृद्धि, जोड़",Addition
"अनुदैर्घ्य, योगज",Additive
गड्ड-मड्ड,Addled
"जोड़, बढ़ोत्तरी, जोड़ा हुआ",Add on
"पीछे लगाना, जोड़ना",Add on
पानेवाला,Addressee
"कहना, निशाना लेना, अड्रेस, संबोधित करना, भाषण, संबोधित करना, दक्षता, लगाना, शैली, देना, पता लिखना, संबोधित करना, ध्यान दिलाना, पता",Address
"संबोधित, के नाम",Addressed
बढ़ाना,Add to
"हवाला देना, उद्धृत करना",Adduce
"होना, के बराबर होना, योग करना, अर्थ निकलना",Add up
एकदम बेकार,Dead duck
"नकियाता, कंठ-शालूक संबंधी",Adenoidal
"कण्ठशालूकाभ, लसीकाभ, ग्रंथ्याभ, कंठ शालूक",Adenoid
"दक्ष, उस्ताद, प्रवीण, निपुण",Adept
"आप्तता, पर्याप्तता",Adequacy
"समुचित, काफी, पर्याप्त",Adequate
पर्याप्त रूप से,Adequately
"चिपकना, पालन करना",Adhere
आदि ग्रंथ,Adi Granth
"आसंजनशीलता, निष्ठा",Adherence
"आसंजित, अनुयायी",Adherent
"निष्ठा, आसंजनशीलता, समर्थन, चिपकाव",Adhesion
"चिपकने वाला, आसंजक, चेपदार, चिपकाने वाला पदार्थ, चिपचिपा",Adhesive
"तदर्थ, अनौपचारिक",Ad hoc
अल्विदा,Adieu
अनंत काल तक,Ad infinitum
गंदी बात,Dirty word
संलग्न कोण,Adjacent angle
"समीपस्थ, निकटवर्ती, लगा हुआ, जुड़ा हुआ",Adjacent
"जान छिड़कने वाला, अत्यधिक स्नेह करने वाला",Doting
विशेषणात्मक,Adjectival
"विशेषणात्मक ढंग से, विशेषण के रूप में",Adjectivally
"विशेषणात्मक, विशेषण",Adjective
"मुँहफ़ट, स्पष्टवादी",Candid
से लगा हुआ होना,Adjoin
अवकाश,Adjournment
"मुल्तवीअना, स्थगित करना, चला जाना",Adjourn
"निर्णय देना, फ़ैसला सुनाना, घोषित करना",Adjudge
"फ़ैसला सुनाना, न्यायविचार करना, निर्णय देना, निर्णायक बनना",Adjudicate
न्याय निर्णय,Adjudication
"न्याय निर्णायक, निर्णायक",Adjudicator
"योजक, सहायक, अनुलग्न",Adjunct
"आज्ञा देना, आदेश देना, विनती करना, अनुरोध करना",Adjure
समंजनीय,Adjustable
"मुताबिक ढालना, व्यवस्थित करना, अनुकूल बनाना",Adjust
"सुधार, समंजन",Adjustment
सहायक,Adjutant
"बिना तैयारी का, यथेच्छ, तत्काल भाषण देना",Ad lib
विज्ञापक,Adman
प्रशासन,Admin
"लागू करना, देना, प्रबंध करना, देना",Administer
"व्यवस्था, प्रशासन काल, शासन, प्रशासन",Administration
"प्रशासकीय, प्रशासनिक",Administrative
"प्रशासनिक रूप से, प्रशासन द्वारा",Administratively
"व्यवस्थापक, प्रबंधनकर्ता, न्यायाधीश, प्रशासनाधिकारी, प्रबंधक, प्रशासक",Administrator
"सराहनीय, प्रशंसनीय",Admirable
"सराहनीय ढंग से, प्रशंसनीय ढंग से",Admirably
ऐडमिरल,Admiral
"जलसेना-विभाग, नावधिकरण, नौसेना-विभाग",Admiralty
"विस्मय, अचरज, सराहना, प्रशंसा",Admiration
"समादर करना, सराहना करना, प्रशंसा करना",Admire
"समर्थक, प्रशंसक, सराहने वाला, तरफ़दार",Admirer
प्रशंसापूर्ण,Admiring
"सराहनीय ढंग से, प्रशंसापूर्ण ढंग से",Admiringly
स्वीकार्यता,Admissibility
स्वीकार्य,Admissible
"प्रवेश शुल्क, प्रवेश, दाखिला, स्वीकृति",Admission
"प्रवेश की अनुमति देना, आ सकना, खुलना, संभव होना, हो सकना, शरीक करना, शामिल करना, अनुमति देना, अन्दर आने देना, के लिए स्थान होना, भर्ती करना, अंदर आने की अनुमति देना, स्वीकार करना, मान लेना",Admit
गुंजाइश होना,Admit of
"भर्ती, प्रवेश, प्रवेशाधिकार",Admittance
"बेशक, वास्तव में, सच में",Admittedly
"सावधान करना, फटकारना, चेतावनी देना, सलाह देना",Admonish
"झिड़की भरा, आलोचनात्मक, उलाहना भरा",Admonishing
"भर्त्सना, डाँट-फटकार, चेतावनी",Admonishment
"भर्त्सना, चेतावनी",Admonition
"झिड़की भरा, चेतावनीपूर्ण, आलोचनात्मक, उलाहना भरा",Admonitory
घृणास्पद होने तक,Ad nauseam
"कच्ची ईँट का मकान, कच्ची ईंट",Adobe
किशोरावस्था,Adolescence
"किशोरावस्था का, नवयुवती, नवयुवक, किशोर",Adolescent
"नाटकीकरण करना, धारण करना, अनुसरण करना, अपनाना, लेना, अपनाना, चुनना, गोद लेना",Adopt
"अभिग्रहण, गोद लेना, अंगीकरण",Adoption
दत्तक,Adoptive
बहुत ही आकर्षक,Adorable
"श्रद्धा, आराधना, गहरा प्रेम",Adoration
"जान छिड़कना, बहुत प्यार करना, बहुत ही प्रेम करना, बहुत ही पसंद करना",Adore
"आराधनापूर्ण, प्रेममय",Adoring
दक्षतापूर्वक,Adroitly
"सँवारना, सजाना",Adorn
अलंकार,Adornment
"अधिवृक्की, अधिवृक्क",Adrenal
ऐड्रिनलिन,Adrenalin
"इधर-उधर, ग़लत, ढीला, दिशाहीन, पीछे, इधर-उधर बहता हुआ",Adrift
"सुघड़, कुशल, निपुण",Adroit
"निपुणता, दक्षता",Adroitness
चापलूसी,Adulation
"खुशामदी, चापलूसीपूर्ण, चाटुकीय",Adulatory
"परिपक्व, बालिग, वयस्क, वयस्क, पूर्णविकसित प्राणी",Adult
"वयस्क शिक्षा, प्रौढ़ शिक्षा",Adult education
"मिलावटी, मिलावट करना",Adulterate
मिलावट,Adulteration
परस्त्रीगामी,Adulterer
परपुरुषगामिनी,Adulteress
"विवाहेतर, व्यभिचारी",Adulterous
"अन्यगमन, परगमन",Adultery
वयस्कता,Adulthood
"संकेत करना, इंगित करना, रूपरेखा प्रस्तुत करना, पूर्वाभास देना",Adumbrate
"रूपरेखा, पूर्वाभास",Adumbration
