Word,Meaning
ပွန်းစားခြင်း,Abrasiveness
ရင်ဘောင်တန်းနိုင်ရန်,Abreast
ရင်ပေါင်တန်းနိုင်ရန်,Abreast Of
ပြည်ပမှာ,Abroad
ပယ်ဖျက်မှုမရှိ,Abrogable
ပယ်ဖျက်မှုမရှိ,Abrogates
ပယ်ဖျက်မှုမရှိ,Abrogation
ပယ်ဖျက်မှုမရှိ,Abrogative
ပယ်ဖျက်မှုမရှိ,Abrogator
ရုတ်တရက်,Abrupt
ရုတ်တရက်,Abruption
ရုတ်တရက်,Abruptly
ရုတ်တရက်,Abruptness
အဗရှလုံ,Absalom
ထွက်ပြေး,Abscond
ထွက်ပြေး,Abscondence
ထွက်ပြေး,Absconder
ထွက်ပြေး,Abscondment
မရှိခြင်း,Absence
၏စိတ်မရှိခြင်း,Absence Of Mind
စာပို့မရှိခြင်း,Absence Of Postage
မရှိသော,Absent
စိတ်ထားရှိတရားခွင်သို့,Absent Minded
တရားခွင်သို့စိတ်,Absent Mindedness
မိမိကိုယ်ကိုကျောင်းပျက်,Absent Oneself
မရှိသော,Absentation
အလုပ်ပျက်ကွက်မှု,Absenteeism
အလုပ်ပျက်ကွက်မှုနှုန်းမှာ,Absenteeism Rate
မရှိသော,Absenter
မရှိသော,Absently
မရှိသော,Absentment
တရားခွင်သို့လိုလားတဲ့,Absent-Minded
မရှိသော,Absentness
အကြွင်းမဲ့အရက်,Absolute Alcohol
ပကတိအများစုကို,Absolute Majority
အကြွင်းမဲ့,Absolutely
အကြွင်းမဲ့သုည,Absolute-Zero
စုတ်,Absorb
စွမ်းရည်ကိုစုပ်ယူ,Absorb Ability
စုတ်,Absorbability
စုတ်,Absorbable
ကိုစုပ်ယူ-နိုင်,Absorb-Able
စုတ်,Absorbate
စုပ်ယူ,Absorbed
စုပ်ယူ,Absorbedness
စုတ်,Absorbency
စုတ်,Absorbent
ကိုစုပ်ယူဝါဂွမ်း,Absorbent Cotton
ကိုစုပ်ယူပစ္စည်း,Absorbent Material
စုတ်,Absorber
စုပ်ယူနိုင်သော,Absorbing
စွမ်းရည်မြှင့်စုပ်ယူ,Absorbing Capacity
စုတ်,Absorbs
စုပ်ယူမှု,Absorption
စုပ်ယူမှုတီးဝိုင်း,Absorption Band
စုပ်ယူမှုကိန်း,Absorption Coefficient
စုပ်ယူမှုညွှန်ပြချက်,Absorption Indicator
စုပ်ယူမှုယူနစ်,Absorption Unit
မဲမပေးဘဲ,Abstain
ကြားနေ,Abstained
မဲမပေးဘဲ,Abstainer
တညီတည်းကြားနေ,Abstaining
မဲမပေးဘဲ,Abstainment
မဲမပေးဘဲ,Abstains
ကြားနေမဲ,Abstention
အရက်သေစာရှောင်ကြဉ်,Abstinence
အရက်သေစာရှောင်ကြဉ်,Abstinency
အရက်သေစာရှောင်ကြဉ်,Abstinent
အရက်သေစာရှောင်ကြဉ်,Abstinently
စိတ္တဇ,Abstract
စိတ္တဇအနုပညာ,Abstract Art
စိတ္တဇပန်းချီပညာရှင်,Abstract Artist
စိတ္တဇနာမ်,Abstract Noun
စိတ္တဇအတွေး,Abstract Thought
စိတ္တဇ,Abstracted
စိတ္တဇ,Abstracter
စိတ္တဇ,Abstractional
စိတ္တဇ,Abstractive
စိတ္တဇ,Abstractively
စိတ္တဇ,Abstractiveness
လာကြတယ်,Abstractly
စိတ္တဇ,Abstractness
အဓိပ္ပါယ်မဲ့မှု,Absurd
အဓိပ္ပါယ်မဲ့မှု,Absurdism
အဓိပ္ပါယ်မဲ့စမ်းသပ်,Absurdities Test
အဓိပ္ပါယ်မဲ့မှု,Absurdity
အဓိပ္ပါယ်မဲ့မှု,Absurdness
အဘူ,Abu
အဘူဒါဘီ,Abu Dhabi
ကြွယ်ဝခြင်း,Abundance
ကြွယ်ဝသော,Abundancy
ကြွယ်ဝသော,Abundant
အပေါများသက်သေပြ,Abundant Proof
ဖောဖောသီသီ,Abundantly
အလွဲသုံးမှု,Abuse
စော်ကားတာ,Abused
အလွဲသုံးစားပြုမှု,Abusee
အကြမ်းဖက်သူ,Abuser
ချိုးဖောက်မှုတွေကို,Abuses
အလွဲသုံးစား,Abusing
ကြမ်းတမ်းသော,Abusive
ချိုးချိုးနှိမ်နှိမ်,Abusively
ဆိုးရွားသော,Abysm
ဆိုးရွားသော,Abysmal
ဆိုးရွားသော,Abysmally
တွင်းနက်ကြီး,Abyss
တွင်းနက်ကြီး,Abyssal
တွင်းနက်ကြီးဇုန်,Abyssal Zone
ထိုအချိန်တွင်,Abyssinia
အကာရှသား,Acacia
ပညာရေးလောကကို,Academia
အကယ်ဒမီ,Academial
ပညာရေးဆိုင်ရာစီမံခန့်ခွဲသူ,Academic Administrator
ပညာရေးဆိုင်ရာဝတ်စုံ,Academic Costume
ပညာရေးဆိုင်ရာဘွဲ့,Academic Degree
သင်ကြားရေးဌာန,Academic Department
ပညာရေးဆိုင်ရာလွတ်လပ်ခွင့်,Academic Freedom
ပညာရေးဆိုင်ရာဝတ်,Academic Gown
ပညာရေးဆိုင်ရာနှင့် ပတ်သက်.,Academic Relation
ပညာရေးဆိုင်ရာလိုအပ်ချက်,Academic Requirement
ပညာရေးဆိုင်ရာသောဝတ်လုံကို,Academic Robe
ပညာသင်နှစ်သက်တမ်းအတွက်,Academic Term
ပညာသင်နှစ်တစ်နှစ်,Academic Year
အကယ်ဒမီ,Academy
အကယ်ဒမီဆုချီးမြှင့်,Academy Award
ဂီတ၏အကယ်ဒမီ,Academy Of Music
သဘောတူ,Accede
ချက်ကိုမိမိတို့ကသဘောတူ,Accede To
အရှိန်မြှင့်,Accelerate
အရှိန်မြှင့်,Accelerating
အရှိန်မြှင့်ပရီမီယံ,Accelerating Premium
သံပြောင်းပြ,Accented
ကိုပေါ်လွင်စေ,Accentuate
သဘောတူလက်ခံ,Accept
သဘောတူလက်ခံ,Acceptability
လက်ခံနိုင်ဖွယ်,Acceptable
သဘောတူလက်ခံ,Acceptableness
သဘောတူလက်ခံ,Acceptably
လက်ခံခြင်း,Acceptance
လက်ခံမှုကိုနမူနာ,Acceptance Sampling
သဘောတူလက်ခံ,Acceptancy
သဘောတူလက်ခံ,Acceptant
သဘောတူလက်ခံ,Acceptation
သဘောတူလက်ခံ,Accepted
သဘောတူလက်ခံ,Accepter
လက်ခံခြင်း,Accepting
ကိုလက်ခံနေ,Acception
သဘောတူလက်ခံ,Acceptive
လက်ခံ,Accepts
လွယ်လွယ်ကြည့်,Accessibility
အသုံးမပြုနိုင်,Accessible
ရယူခြင်း,Accessing
ပစ္စည်းများ,Accessories
မတော်တဆထိခိုက်မှု,Accidence
မတော်တဆထိခိုက်မှု,Accidency
မတော်တဆထိခိုက်မှု,Accident
ကျရောက်နေတဲ့မတော်တဆထိခိုက်ဒဏ်ရာရမှု,Accident Prone
မတော်တဆထိခိုက်ဒဏ်ရာရမှုခွဲစိတ်မှု,Accident Surgery
မတော်တဆ,Accidental
မတော်တဆထိခိုက်ဒဏ်ရာရမှု,Accidental Injury
မတော်တဆ,Accidentalism
မတော်တဆ,Accidentality
မတော်တဆ,Accidentally
မတော်တဆ,Accidentalness
မတော်တဆထိခိုက်မှု,Accidently
ကောင်းချီး,Acclaim
ကောင်းချီး,Acclaimable
ထု,Acclaimed
ကောင်းချီး,Acclaimer
ကောင်းချီး,Acclaiming
ကောင်းချီး,Acclaims
နေရာထိုင်ခင်း,Accommodable
နေရာထိုင်ခင်း,Accommodableness
လိုက်လျောညီထွေ,Accommodate
နေရာထိုင်ခင်း,Accommodately
နေရာထိုင်ခင်း,Accommodateness
နေရာထိုင်ခင်း,Accommodates
နေရာထိုင်ခင်း,Accommodating
နေရာထိုင်ခင်း,Accommodation
နေရာထိုင်ခင်းလိပ်စာ,Accommodation Address
နေရာထိုင်ခင်းထောက်ခံချက်,Accommodation Endorser
နေရာထိုင်ခင်း,Accommodational
နေရာထိုင်ခင်း,Accommodations
ဆိုက်ကပ်နိုင်,Accommodative
နေရာထိုင်ခင်း,Accommodativeness
နေရာထိုင်ခင်း,Accommodator
အတူလိုက်ပါ,Accompanied
ပူးတွဲပါ,Accompanier
ပူးတွဲပါ,Accompanies
ပူးတွဲပါ,Accompaniment
အတူလိုက်,Accompany
နောက်ကျောနှင့်အတူလိုက်ပါလာ,Accompany Back
နှင့်အတူလိုက်ပါသည်,Accompanying
ပါလာတဲ့သွေးပြန်ကြော,Accompanying Vein
ကြံရာ,Accomplice
ပြီးမြောက်စေ,Accomplish
ပြီးမြောက်စေ,Accomplishable
ပြီးမြောက်အောင်မြင်,Accomplished
ပြီးမြောက်စေတကယ်တော့,Accomplished Fact
ပြီးမြောက်စေ,Accomplisher
ပြီးမြောက်စေ,Accomplishes
ပြီးမြောက်စေ,Accomplishing
အောင်မြင်ခြင်း,Accomplishment
အညီ,Accord
အညီ,Accordance
၏အဆိုအရ,According
အညီအမျှ,According As
အရ,According To
သို့ဖြစ်ပါ.,Accordingly
အကော်ဒီယံ,Accordion
အကော်ဒီယံတံခါးကို,Accordion Door
အဘို့အအကောင့်ကို,Account For
တာဝန်ခံမှု,Accountability
တာဝန်ခံမှု,Accountable
အကောင့်ဖွင့်,Accountableness
အကောင့်ဖွင့်,Accountably
စာရင်းကိုင်ပညာ,Accountancy
စာရင်းကိုင်,Accountant
မှတ်,Accounted
အကောင့်ဖွင့်,Accounter
စာရင်းကိုင်,Accounting
စာရင်းကိုင်ဒေတာ,Accounting Data
စာရင်းကိုင်ကုမ္ပဏီ,Accounting Firm
စာရင်းကိုင်နိယာမ,Accounting Principle
စာရင်းကိုင်စံ,Accounting Standard
စာရင်းကိုင်စနစ်က,Accounting System
အကောင့်ဖွင့်,Accountment
အက်,Accra
အသိအမှတ်ပြု,Accredit
အသိအမှတ်ပြု,Accreditate
လက်မှတ်ထုတ်ပေးမည့်,Accreditation
အသိအမှတ်ပြု,Accredited
အသိအမှတ်ပြု,Accrediting
အသိအမှတ်ပြု,Accreditment
အသိအမှတ်ပြု,Accredits
ချဲ့,Accretal
ချဲ့,Accrete
ချဲ့,Accretion
ချဲ့,Accretive
လောကအတွက်,Accrue
စုပုံခ​​ြင်း,Accumulable
စု,Accumulate
စုဆောင်း,Accumulated
စုပုံခ​​ြင်း,Accumulates
စုဆောင်း,Accumulating
စုပုံခ​​ြင်း,Accumulation
စုပုံခ​​ြင်း,Accumulations
စုပုံခ​​ြင်း,Accumulative
စုပုံခ​​ြင်း,Accumulatively
စုပုံခ​​ြင်း,Accumulativeness
စုပုံခ​​ြင်း,Accumulator
တိကျမှန်ကန်မှုကို,Accuracy
တိကျမှန်ကန်တဲ့,Accurate
တိကျမှန်ကန်စွာ,Accurately
တိကျမှု,Accurateness
ကျိန်အပ်သောသူ,Accurse
ကျိန်အပ်သောသူ,Accursed
၎င်းအကျိန်ခံ,Accursedness
အမှုလုပ်သောသူတို့သည်,Accusable
အမှုလုပ်သောသူတို့သည်,Accusably
အမှုလုပ်သောသူတို့သည်,Accusal
အမှုလုပ်သောသူတို့သည်,Accusant
စွပ်စွဲချက်ကို,Accusation
အမှုလုပ်သောသူတို့သည်,Accusatively
စွပ်စွဲ,Accuse
တရားခံ,Accused
စွပ်စွဲသူ,Accuser
စွပ်စွဲထားတာ,Accuses
စွပ်စွဲ,Accusing
အမှုလုပ်သောသူတို့သည်,Accusive
နေသားတကျ,Accustom
နေသားတကျ,Accustomed
ထုံးစံ,Accustomedness
နေသားတကျ,Accustoming
နေသားတကျ,Accustoms
အေ့စ်,Ace
အက်စီတလင်း,Acetylenation
အက်စီတလင်း,Acetylene
အက်စီတလင်း,Acetylenic
ကိုက်,Ache
အောင်မြင်မှုများ,Achievability
အောင်မြင်ရရှိနိုင်ခြင်း,Achievable
အောင်မြင်,Achieved
အောင်မြင်မှုအတွက်,Achievement
ထူးချွန်,Achiever
အောင်မြင်မှုများ,Achieves
အောင်မြင်ရေးအတွက်,Achieving
အာခိမ်,Achime
တော်တော်ကြည်နူးကြေကွဲ,Aching
အာခေါ်,Achor
အက်ဆစ်,Acid
အက်ဆစ်တစ်စက်,Acid Drop
အက်ဆစ်ဆိုးဆေး,Acid Dye
အစာရှောင်ခြင်းအက်ဆစ်,Acid Fast
ဖွဲ့စည်းအက်ဆစ်,Acid Forming
အက်ဆစ်၏ဦးခေါင်းကို,Acid Head
အက်ဆစ်အိမ်သူအိမ်,Acid House
အက်ဆစ်ဟိုက်ဒရိုဂျင်,Acid Hydrogen
အက်ဆစ်မေတ္တာရှင်,Acid Loving
အက်ဆစ်မိုးရွာသွန်းမှု,Acid Precipitation
အက်ဆစ်မိုးရွာရွာ,Acid Rain
အက်ဆစ်အရသာ,Acid Tasting
အက်ဆစ်စမ်းသပ်,Acid Test
အက်ဆစ်လက်ဆေး,Acid Wash
အက်ဆစ်,Acider
အက်ဆစ်,Acidic
အက်ဆစ်ပါဟိုက်ဒရိုဂျင်,Acidic Hydrogen
အက်ဆစ်,Acidities
အက်ဆစ်,Acidity
စပျစ်ရည်ကိုအချဉ်ဓာတ်,Acidity Of Wine
အက်ဆစ်,Acidize
အက်ဆစ်,Acidness
ဝန်ခံ,Acknowledge
ဝန်ခံချက်,Acknowledgeable
အသိအမှတ်ပြုသည်,Acknowledged
ကျေးဇူးတင်လွှာ,Acknowledgement
ဝန်ခံချက်,Acknowledger
ဝန်ခံချက်,Acknowledgment
ဝက်ခြံပေါက်,Acne
အကျွမ်း ဝင်.,Acquaint
အသိအကျွမ်း,Acquaintance
အသိအကျွမ်း,Acquaintancy
အသိအကျွမ်း,Acquaintant
ကြှမျး,Acquainted
ခင်မင်သိကျွမ်း,Acquainted With
ကြှမျး,Acquaintedness
ရရှိ,Acquire
ဝယ်ယူ,Acquired
ဝယ်ယူကိုယ်ခံစွမ်းအား,Acquired Immunity
ဝယ်ယူအ​​ရသာ,Acquired Taste
ခံထားသူ,Acquiring
ရယူခြင်း,Acquisite
ရယူခြင်း,Acquisition
သိမ်းယူမှုသဘောတူညီချက်,Acquisition Agreement
ရယူခြင်း,Acquisitive
ရယူခြင်း,Acquisitively
ရယူခြင်း,Acquisitiveness
မှတ်,Acquit
မိမိကိုယ်ကိုမှတ်,Acquit Oneself
မှတ်,Acquitment
မှတ်,Acquits
တရားသေလွှတ်,Acquittal
တရားသေလွှတ်,Acquittance
အပြစ်မရှိကြောင်းစီရင်,Acquitted
တရားသေလွှတ်,Acquitter
မှတ်,Acquitting
တစ်ဧက,Acre
ဧကခြေလျင်,Acre Foot
ဧကလက်မ,Acre Inch
ဧက,Acreage
ဧက,Acres
အတိုကောက်,Acronym
အတိုကောက်,Acronymic
အတိုကောက်,Acronymize
အတိုကောက်,Acronymous
ဖြတ်.,Across
တိုင်းပြည်အနှံ့,Across Country
မှဖြတ်သန်းပြီး,Across From
ဘုတ်အဖွဲ့ရဲ့တစ်ဖက်မှာ,Across The Board
ကောင်တာကိုဖြတ်ပြီး,Across The Counter
အက်ဥပဒေ,Act
အဖြစ်အက်ဥပဒေ,Act As
အဘို့အအက်ဥပဒေ,Act For
၏အရပ်ဌာန၌အက်ဥပဒေ,Act In Place Of
ဆန္ဒပြပွဲအက်ဥပဒေ,Act Of Protest
ဆန္ဒအလျောက်အက်ဥပဒေ,Act Of Volition
ပေါ်အက်ဥပဒေပုဒ်မ,Act On
ထွက်အက်ဥပဒေပုဒ်မ,Act Out
ထက်သာလွန်အက်ဥပဒေပုဒ်မ,Act Superior
တက်အက်ဥပဒေပုဒ်မ,Act Up
အပေါ်သို့အက်ဥပဒေပုဒ်မ,Act Upon
ပြုမူခဲ့,Acted
ခေတ္တ,Acting
ထွက်သရုပ်ဆောင်,Acting Out
ဖွင့်အေးဂျင်,Activating Agent
လှုပ်ရှားသော,Active
တက်ကြွစွာပါ,Actively
တက်ကြွလှုပ်ရှား,Activism
တက်ကြွသူ,Activist
လှုပ်ရှားတက်ကြွသူ,Activistic
လှုပ်ရှားမှုများ,Activities
လုပ်ဆောင်ချက်,Activity
မင်းသား,Actor
ရုပ်ရှင်မင်းသမီး,Actress
တမန်တော်,Acts
တကယ့်,Actual
တကယ့်နှင်ထုတ်ခြင်း,Actual Eviction
တကယ့်ကိုအပြစ်ဖြေ,Actual Sin
တကယ့်,Actualism
တကယ့်,Actualities
တကယ့်,Actuality
တကယ့်,Actualization
တကယ်တော့,Actually
တကယ့်,Actualness
သဘောကို,Actuating
ကြံထက်,Acumen
အပ်စိုက်ကုထုံး,Acupuncturation
အပ်စိုက်ကုထုံး,Acupuncturator
အပ်စိုက်ကုထုံး,Acupuncture
ထက်မြက်သော,Acutate
ထက်မြက်သော,Acute
ထက်မြက်သော,Acutely
ထက်မြက်သော,Acuteness
ကြော်ငြာ,Ad
ကြော်ငြာအေဂျင်စီက,Ad Agency
ကြော်ငြာရေးလှုပ်ရှားမှု,Ad Campaign
ကြော်ငြာဖြတ်,Ad Cut
သင့်ရာကို,Ad Hoc
ကြော်ငြာအဆုံးမရှိ,Ad Infinitum
ကြော်ငြာကြားဖြတ်အစိုးရ,Ad Interim
ကြော်ငြာအမည်ခံ,Ad Nominal
ကြော်ငြာနာမ်,Ad Noun
ကြော်ငြာဆန္ဒခံယူပွဲ,Ad Referendum
ကြော်ငြာပေါင်းလဒ်,Ad Sum
အလေးချိန်,Adage
အာဒံကို,Adam
အာဒံကို,Adamance
အာဒံကို,Adamant
အာဒံကို,Adamic
အာဒံကို,Adamical
အာဒံကို,Adamically
အာဒံရဲ့ပန်းသီး,Adam'S Apple
လိုက်လျောညီထွေဖြစ်အောင်,Adapt
မိမိကိုယ်ကိုလိုက်လျောညီထွေဖြစ်အောင်,Adapt Oneself
လိုက်လျောညီထွေပြောင်းလဲခြင်း,Adaptation
ဒပ္,Adapter
သပ္ပါယ်,Adaptive
အာဒါ,Adar
ပေါင်း,Add
ဖြည့်စွက်မှု,Add On
ထည့်သည်,Add To
ည့်စွက်ချက်များ,Addenda
မြွေဆိုး,Adder
စှဲလမျးသူ,Addict
စွဲ,Addicted
စွဲတဲ့,Addicted To
စွဲတဲ့,Addictedness
စွဲလမ်းမှု,Addiction
စွဲလမ်းစေ,Addictive
စှဲလမျးသူ,Addicts
ထပ်ပေါင်းထည့်ခြင်း,Adding
စက်ကိုထပ်ပေါင်းထည့်ခြင်း,Adding Machine
နောက်ထပ်,Addition
နောက်ထပ်,Additional
အပိုဆောင်းတာဝန်ခံ,Additional Charge
အပိုဆောင်းအာမခံ,Additional Insurance
အပိုဆောင်းပရီမီယံ,Additional Premium
ထို့အပြင်,Additionally
နောက်ထပ်,Additive
နောက်ထပ်,Additively
နောက်ထပ်,Additivity
လိပ်စာ,Address
လိပ်စာစာအုပ်,Address Book
လိပ်စာ,Addressable
ကိုင်တွယ်ဖြေရှင်း,Addressed
လိပ်စာ,Addresser
လိပ်စာများကို,Addresses
လိပ်စာ,Addressful
အက်ဒလိတ်မြို့,Adelaide
အေဒင်,Aden
အက်ဒနင်း,Adenine
ကျင်,Adept
ကျင်,Adeptness
လုံလောက်သော,Adequancy
လုံလောက်သော,Adequate
လုံလောက်သော,Adequate To
လုံလောက်စွာ,Adequately
လုံလောက်သော,Adequateness
လုံလောက်သော,Adequation
လုံလောက်သော,Adequative
လိုက်နာရန်,Adhere
လိုက်နာ,Adhered
ထိန်းသိမ်းလိုက်နာမှု,Adherence
ထိန်းသိမ်းလိုက်နာမှု,Adherency
ထိန်းသိမ်းလိုက်နာမှု,Adherent
ထိန်းသိမ်းလိုက်နာမှု,Adherently
ထိန်းသိမ်းလိုက်နာမှု,Adherer
ထိန်းသိမ်းလိုက်နာမှု,Adheres
ထိန်းသိမ်းလိုက်နာမှု,Adhering
တွယ်ကပ်,Adhesion
တွယ်ကပ်စာချုပ်,Adhesion Contract
ကော်,Adhesive
ကော်ကိုယ်စားလှယ်အဖြစ်,Adhesive Agent
ကော်ပတ်တီး,Adhesive Bandage
ကော်ပွတ်တိုက်,Adhesive Friction
ကော်ရုပ်,Adhesive Material
ကော်ပလာစတာ,Adhesive Plaster
ကော်ချွတ်,Adhesive Strip
ကော်တိပ်,Adhesive Tape
ကော်,Adhesively
ကော်,Adhesiveness
သင့်ရာကို,Adhoc
အာဒိန်,Adin
ကပ်လျက်,Adjacencies
ကပ်လျက်,Adjacency
ကပ်လျက်,Adjacent
ကပ်လျက်ထောင့်ချိုး,Adjacent Angle
ကပ်လျက်,Adjacently
နာမဝိသေသန,Adject
နာမဝိသေသန,Adjection
နာမဝိသေသန,Adjectional
နာမဝိသေသန,Adjective
နာမဝိသေသန,Adjectively
နာမဝိသေသန,Adjectivitis
အကြိမ်ကြိမ်ရွှေ့ဆိုင်းထားခဲ့ပြီး,Adjourn
ရန်အကြိမ်ကြိမ်ရွှေ့ဆိုင်းထားခဲ့ပြီး,Adjourn To
အကြိမ်ကြိမ်ရွှေ့ဆိုင်းထားခဲ့ပြီး,Adjournal
အကြိမ်ကြိမ်ရွှေ့ဆိုင်းထားခဲ့ပြီး,Adjournment
စီရင်,Adjudge
